time_utc;day_ahead_forecast;actual;;
00:00:00;13 234;13 131;;
00:15:00;13 082;13 084;;
00:30:00;12 919;12 982;;
00:45:00;12 799;12 961;;
01:00:00;12 740;12 960;;
01:15:00;12 673;12 985;;
01:30:00;12 533;12 913;;
01:45:00;12 471;13 054;;
02:00:00;12 485;13 069;;
02:15:00;12 527;13 032;;
02:30:00;12 533;13 036;;
02:45:00;12 540;13 036;;
03:00:00;12 622;13 072;;
03:15:00;12 655;13 105;;
03:30:00;12 583;13 057;;
03:45:00;12 672;13 025;;
04:00:00;12 755;13 254;;
04:15:00;12 951;13 430;;
04:30:00;13 251;13 555;;
04:45:00;13 494;13 641;;
05:00:00;13 971;14 226;;
05:15:00;14 423;14 521;;
05:30:00;14 953;14 904;;
05:45:00;15 665;15 342;;
06:00:00;16 442;16 049;;
06:15:00;17 110;16 619;;
06:30:00;17 450;17 059;;
06:45:00;17 882;17 501;;
07:00:00;18 312;17 936;;
07:15:00;18 630;18 264;;
07:30:00;18 817;18 584;;
07:45:00;18 949;18 862;;
08:00:00;19 087;19 052;;
08:15:00;19 066;19 154;;
08:30:00;19 139;19 200;;
08:45:00;19 277;19 264;;
09:00:00;19 218;19 492;;
09:15:00;19 100;19 504;;
09:30:00;19 018;19 583;;
09:45:00;18 933;19 567;;
10:00:00;18 913;19 569;;
10:15:00;18 850;19 512;;
10:30:00;18 809;19 294;;
10:45:00;18 803;19 284;;
11:00:00;18 833;19 131;;
11:15:00;18 885;19 065;;
11:30:00;18 865;18 909;;
11:45:00;18 838;18 835;;
12:00:00;18 814;18 860;;
12:15:00;18 836;18 759;;
12:30:00;18 721;18 606;;
12:45:00;18 596;18 629;;
13:00:00;18 531;18 840;;
13:15:00;18 492;18 866;;
13:30:00;18 466;19 024;;
13:45:00;18 531;18 932;;
14:00:00;18 339;19 053;;
14:15:00;18 399;19 058;;
14:30:00;18 238;19 081;;
14:45:00;18 305;19 135;;
15:00:00;18 546;19 079;;
15:15:00;18 806;19 061;;
15:30:00;18 978;19 130;;
15:45:00;19 228;19 490;;
16:00:00;19 275;19 651;;
16:15:00;19 266;19 921;;
16:30:00;19 367;19 984;;
16:45:00;19 405;19 884;;
17:00:00;19 195;19 540;;
17:15:00;19 050;19 321;;
17:30:00;18 898;19 220;;
17:45:00;18 956;18 992;;
18:00:00;18 780;18 938;;
18:15:00;18 758;18 715;;
18:30:00;18 628;18 411;;
18:45:00;18 312;18 313;;
19:00:00;18 086;18 230;;
19:15:00;17 796;18 112;;
19:30:00;17 592;17 906;;
19:45:00;17 328;17 618;;
20:00:00;16 988;17 198;;
20:15:00;16 688;16 868;;
20:30:00;16 499;16 858;;
20:45:00;16 190;16 749;;
21:00:00;16 051;16 375;;
21:15:00;15 814;16 075;;
21:30:00;15 529;15 784;;
21:45:00;15 181;15 527;;
22:00:00;14 873;15 309;;
22:15:00;14 591;15 110;;
22:30:00;14 430;14 771;;
22:45:00;14 232;14 525;;
23:00:00;13 865;14 283;;
23:15:00;13 723;14 068;;
23:30:00;13 512;13 999;;
23:45:00;13 344;13 965;;
