published_time_utc;auction_lot_id;buy_sell;delivery_start_time_utc;delivery_end_time_utc;bid_deadline_time_utc;qualified_ic;volume_required_mw;cleared_volume_mw;bn_volume_mw;nemo_volume_mw;vkl_volume_mw;ifa1_volume_mw;ifa2_volume_mw;el_volume_mw;clearing_price_gbp_mwh;best_price_gbp_mwh;vwa_price_gbp_mwh
03:18:41;lot_1;Buy;05:00:00;06:00:00;03:15:00;IFA1/NEMO/BN/EL;750;750;399;51;;300,0;;;104,62;100,19;102,95
03:18:41;lot_2;Buy;06:00:00;07:00:00;03:15:00;IFA1/NEMO/BN/EL;2 200;2 200;561;741;;675,0;;223,0;132,18;122,08;127,87
03:18:41;lot_3;Buy;07:00:00;08:00:00;03:15:00;IFA1/NEMO/BN/EL;3 050;3 050;900;838;;1 172,0;;140,0;166,77;149,71;158,11
03:18:41;lot_4;Buy;08:00:00;09:00:00;03:15:00;IFA1/NEMO/BN/IFA2/EL/VKL;800;800;152;0;250,0;124,0;150,0;124,0;157,00;136,87;151,44
03:18:41;lot_5;Buy;08:00:00;09:00:00;03:15:00;IFA1/NEMO/BN/EL;2 100;2 100;598;470;;872,0;;160,0;154,20;144,31;149,92
03:18:41;lot_6;Buy;09:00:00;10:00:00;03:15:00;IFA1/NEMO/BN/IFA2/EL/VKL;900;900;250;148;;175,0;204,0;123,0;143,40;130,78;140,28
03:18:41;lot_7;Buy;09:00:00;10:00:00;03:15:00;IFA1/NEMO/BN/EL;100;100;100;0;;0,0;;0,0;136,70;136,70;136,70
03:18:41;lot_8;Buy;10:00:00;11:00:00;03:15:00;IFA1/NEMO/BN/EL;250;250;200;50;;0,0;;;134,18;132,39;133,47
03:18:41;lot_9;Buy;10:00:00;11:00:00;03:15:00;IFA1/NEMO/BN/IFA2/EL/VKL;1 100;1 100;388;346;;166,0;200,0;;138,81;124,69;135,32
03:18:41;lot_10;Buy;11:00:00;12:00:00;03:15:00;IFA1/NEMO/BN/EL;650;650;150;0;;426,0;;74,0;130,95;127,39;129,33
03:18:41;lot_11;Buy;11:00:00;12:00:00;03:15:00;IFA1/NEMO/BN/IFA2/EL/VKL;1 250;1 250;397;100;50,0;603,0;;100,0;137,00;130,95;133,71
09:46:42;lot_12;Buy;12:00:00;13:00:00;09:35:00;IFA1/BN/NEMO/IFA2/EL/VKL;1 050;1 050;437;452;161,0;;;;229,61;154,50;206,92
09:46:42;lot_13;Buy;12:00:00;13:00:00;09:35:00;IFA1/BN/NEMO/EL;550;550;254;296;;;;;185,00;154,50;173,24
09:46:42;lot_14;Buy;13:00:00;14:00:00;09:35:00;IFA1/BN/NEMO/IFA2/EL/VKL;1 750;1 750;389;738;73,0;301,0;;249,0;215,22;145,00;177,87
09:46:42;lot_15;Buy;14:00:00;15:00:00;09:35:00;IFA1/BN/NEMO/IFA2/EL/VKL;1 250;1 250;462;515;24,0;124,0;;125,0;200,46;147,53;178,05
09:46:42;lot_16;Buy;15:00:00;16:00:00;09:35:00;IFA1/BN/NEMO/IFA2/EL/VKL;500;500;10;490;;;;;232,66;173,65;189,41
12:04:00;lot_17;Buy;16:00:00;17:00:00;11:40:00;IFA1/NEMO/BN/IFA2/EL/VKL;1 600;1 600;858;424;318,0;;;;570,21;368,76;480,70
12:04:00;lot_18;Buy;16:00:00;17:00:00;11:40:00;IFA1/NEMO/BN/EL;250;250;60;190;;;;;426,65;368,76;415,71
12:04:00;lot_19;Buy;17:00:00;18:00:00;11:40:00;IFA1/NEMO/BN/EL;400;400;111;289;;;;;400,00;355,43;383,97
12:04:00;lot_20;Buy;17:00:00;18:00:00;11:40:00;IFA1/NEMO/BN/IFA2/EL/VKL;2 000;2 000;934;630;436,0;;;;504,99;355,43;451,85
12:04:00;lot_21;Buy;18:00:00;19:00:00;11:40:00;IFA1/NEMO/BN/IFA2/EL/VKL;800;800;51;199;;475,0;75,0;;312,14;297,67;302,26
17:28:08;lot_22;Buy;20:00:00;21:00:00;17:10:00;IFA1/NEMO/BN/IFA2/EL/VKL;1 050;1 021;172;274;575,0;;;;299,00;170,66;207,96
17:28:08;lot_23;Buy;21:00:00;22:00:00;17:10:00;IFA1/NEMO/BN/IFA2/EL/VKL;1 400;1 390;431;273;686,0;;;;291,22;157,62;196,23
