AOX Trade case study data pack;;;;
Scope;One full NL power trading day;;;
Timestamps;All time_utc columns are UTC. time_start_cet / time_end_cet in balance_delta are CET local.;at this time UTC is one hour ahead of CET;;
;;;;
Sheets;;;;
solar;15-min NL solar day-ahead forecast and outturn;;;
wind;15-min NL wind day-ahead forecast and outturn, onshore/offshore split;;;
demand;15-min NL demand day-ahead forecast and actual;;;
capacities;60-min NL hub-to-hub available transfer capacity per border, MW;;;
da_prices_nl;15-min NL day-ahead auction clearing price, EUR/MWh;;;
imbalance_prices_nl;15-min TenneT imbalance settlement prices, EUR/MWh;;;
balance_delta;1-min TenneT balance delta feed (aFRR, IGCC, mFRRda, Picasso, regulation prices), CET local;;;
neso_auctions;NESO GB interconnector auction lots, GBP/MWh;;;
gb_flows;Hourly scheduled net GB exports per cable, day-ahead vs finalised, MW;;;
nl_flows;Hourly scheduled net NL exports per border, day-ahead vs finalised, MW;;;
trades;EPEX continuous trade tape for NL, both sides of each trade logged;;;
;;;;
Column definitions;;;;
time_utc;Time of day UTC, HH:MM:SS;;;
day_ahead_forecast;Day-ahead forecast at gate closure;;;
actual;Measured outturn (solar, wind) or actual (demand);;;
actual_total / actual_onshore / actual_offshore;Wind outturn aggregated and by type;;;
installed_capacity;Installed generation capacity, MW;;;
be_to_nl / de_to_nl / dk_to_nl / no_to_nl;Available transfer capacity into NL from each neighbour;;;
nl_to_be / nl_to_de / nl_to_dk / nl_to_no;Available transfer capacity out of NL to each neighbour (negative convention);;;
price_eur_mwh;Day-ahead auction clearing price;;;
long_price_eur_mwh / short_price_eur_mwh;TenneT imbalance settlement for long and short positions;;;
isp;ISP number within the settlement period;;;
time_start_cet / time_end_cet;Balance delta interval boundaries, HH:MM:SS CET local;;;
power_in_afrr_mw / power_out_afrr_mw;Activated aFRR up / down;;;
power_in_igcc_mw / power_out_igcc_mw;IGCC netting contribution up / down;;;
power_in_mfrrda_mw / power_out_mfrrda_mw;Activated mFRRda up / down;;;
highest_upward_regulation_price_eur_mwh;Highest marginal upward regulation price;;;
lowest_downward_regulation_price_eur_mwh;Lowest marginal downward regulation price;;;
mid_price_eur_mwh;Mid regulation price;;;
picasso_in_mw / picasso_out_mw;Picasso platform contribution;;;
published_time_utc;Time of day NESO auction lot was published, HH:MM:SS;;;
delivery_start_time_utc / delivery_end_time_utc;Delivery window, HH:MM:SS;;;
bid_deadline_time_utc;NESO bid submission deadline, HH:MM:SS;;;
qualified_ic;Interconnectors eligible for this auction lot;;;
buy_sell;NESO trade side. Buy = NESO buying power back from shippers;;;
volume_required_mw / cleared_volume_mw;Requested and accepted volume;;;
bn_volume_mw;Volume cleared on BritNed (GB-NL);;;
nemo_volume_mw;Volume cleared on Nemo Link (GB-BE);;;
vkl_volume_mw;Volume cleared on Viking Link (GB-DK);;;
ifa1_volume_mw / ifa2_volume_mw;Volume cleared on IFA1 / IFA2 (GB-FR);;;
el_volume_mw;Volume cleared on ElecLink (GB-FR);;;
clearing_price_gbp_mwh;Worst accepted price in the lot;;;
best_price_gbp_mwh;Best accepted price in the lot;;;
vwa_price_gbp_mwh;Volume weighted average accepted price;;;
da_net_gb_exports_mw;Day-ahead scheduled net GB exports to the counterparty zone;;;
fin_net_gb_exports_mw;Finalised (post-intraday) net GB exports to the counterparty zone;;;
id_adjustment_mw;Finalised minus day-ahead. Net intraday commercial schedule adjustment;;;
da_net_nl_exports_mw / fin_net_nl_exports_mw;Same, NL side, per border;;;
trade_id / remote_trade_id / order_id;EPEX internal identifiers;;;
side;BUY or SELL (each trade is logged from both sides);;;
product;XBID_Hour_Power, XBID_Half_Hour_Power, XBID_Quarter_Hour_Power;;;
execution_time_utc;Time of day the trade executed, HH:MM:SS.mmm;;;
trade_phase;CONT = continuous, AUCT = intraday auction;;;
user_defined_block / self_trade;EPEX flags;;;
price_eur_mwh / volume_mwh;Trade price and volume;;;
;;;;
Data;;;;
Proprietary;solar and wind DA forecast and outturn, 15-min UTC;;;
ENTSO-E Transparency;demand DA forecast, da_prices_nl, imbalance_prices_nl, gb_flows, nl_flows;;;
TenneT;balance_delta minute feed;;;
NESO data portal;neso_auctions;;;
EPEX;trades tape;;;
