time_utc;day_ahead_forecast;actual;installed_capacity;
00:00:00;0;0;18 830;
00:15:00;0;0;18 830;
00:30:00;0;0;18 830;
00:45:00;0;0;18 830;
01:00:00;0;0;18 830;
01:15:00;0;0;18 830;
01:30:00;0;0;18 830;
01:45:00;0;0;18 830;
02:00:00;0;0;18 830;
02:15:00;0;0;18 830;
02:30:00;0;0;18 830;
02:45:00;0;0;18 830;
03:00:00;0;3;18 830;
03:15:00;0;3;18 830;
03:30:00;0;4;18 830;
03:45:00;0;4;18 830;
04:00:00;0;11;18 830;
04:15:00;0;16;18 830;
04:30:00;0;43;18 830;
04:45:00;0;43;18 830;
05:00:00;0;64;18 830;
05:15:00;0;60;18 830;
05:30:00;0;50;18 830;
05:45:00;0;74;18 830;
06:00:00;0;83;18 830;
06:15:00;0;88;18 830;
06:30:00;0;102;18 830;
06:45:00;0;114;18 830;
07:00:00;0;85;18 830;
07:15:00;0;99;18 830;
07:30:00;0;85;18 830;
07:45:00;0;98;18 830;
08:00:00;296;124;18 830;
08:15:00;343;123;18 830;
08:30:00;533;178;18 830;
08:45:00;702;242;18 830;
09:00:00;895;275;18 830;
09:15:00;1 228;350;18 830;
09:30:00;1 446;376;18 830;
09:45:00;1 564;365;18 830;
10:00:00;1 790;399;18 830;
10:15:00;2 001;446;18 830;
10:30:00;2 308;453;18 830;
10:45:00;2 369;475;18 830;
11:00:00;2 696;469;18 830;
11:15:00;3 021;513;18 830;
11:30:00;3 935;540;18 830;
11:45:00;4 468;650;18 830;
12:00:00;4 572;554;18 830;
12:15:00;4 343;672;18 830;
12:30:00;4 237;599;18 830;
12:45:00;3 890;636;18 830;
13:00:00;3 608;545;18 830;
13:15:00;3 332;608;18 830;
13:30:00;3 138;512;18 830;
13:45:00;2 506;613;18 830;
14:00:00;2 219;335;18 830;
14:15:00;1 798;238;18 830;
14:30:00;1 541;125;18 830;
14:45:00;1 366;85;18 830;
15:00:00;1 144;55;18 830;
15:15:00;1 054;30;18 830;
15:30:00;988;17;18 830;
15:45:00;0;28;18 830;
16:00:00;0;38;18 830;
16:15:00;0;20;18 830;
16:30:00;0;21;18 830;
16:45:00;0;2;18 830;
17:00:00;0;20;18 830;
17:15:00;0;1;18 830;
17:30:00;0;11;18 830;
17:45:00;0;3;18 830;
18:00:00;0;9;18 830;
18:15:00;0;25;18 830;
18:30:00;0;14;18 830;
18:45:00;0;26;18 830;
19:00:00;0;9;18 830;
19:15:00;0;9;18 830;
19:30:00;0;15;18 830;
19:45:00;0;2;18 830;
20:00:00;0;7;18 830;
20:15:00;0;2;18 830;
20:30:00;0;7;18 830;
20:45:00;0;3;18 830;
21:00:00;0;0;18 830;
21:15:00;0;0;18 830;
21:30:00;0;0;18 830;
21:45:00;0;0;18 830;
22:00:00;0;0;18 830;
22:15:00;0;0;18 830;
22:30:00;0;0;18 830;
22:45:00;0;0;18 830;
23:00:00;0;0;18 830;
23:15:00;0;0;18 830;
23:30:00;0;0;18 830;
23:45:00;0;0;18 830;
