time_utc;day_ahead_forecast;actual_total;actual_onshore;actual_offshore;installed_capacity
00:00:00;3 751;4 321;1 886;2 435;8 858
00:15:00;3 678;4 278;1 757;2 521;8 858
00:30:00;3 642;4 114;1 688;2 426;8 858
00:45:00;3 558;3 957;1 639;2 318;8 858
01:00:00;3 540;3 863;1 629;2 234;8 858
01:15:00;3 409;3 949;1 695;2 254;8 858
01:30:00;3 370;4 024;1 744;2 280;8 858
01:45:00;3 307;4 241;2 075;2 166;8 858
02:00:00;3 299;3 883;1 811;2 072;8 858
02:15:00;3 311;3 540;1 376;2 164;8 858
02:30:00;3 329;3 639;1 314;2 325;8 858
02:45:00;3 348;3 771;1 354;2 417;8 858
03:00:00;3 332;3 794;1 238;2 556;8 858
03:15:00;3 393;3 844;1 234;2 610;8 858
03:30:00;3 350;3 460;1 280;2 180;8 858
03:45:00;3 194;3 049;1 301;1 748;8 858
04:00:00;3 126;3 115;1 400;1 715;8 858
04:15:00;2 990;3 121;1 396;1 725;8 858
04:30:00;2 799;3 220;1 373;1 847;8 858
04:45:00;2 658;3 309;1 411;1 898;8 858
05:00:00;2 541;3 511;1 583;1 928;8 858
05:15:00;2 500;3 213;1 457;1 756;8 858
05:30:00;2 539;3 331;1 510;1 821;8 858
05:45:00;2 531;3 398;1 406;1 992;8 858
06:00:00;2 466;3 103;1 334;1 769;8 858
06:15:00;2 460;3 008;1 146;1 862;8 858
06:30:00;2 325;3 061;1 121;1 940;8 858
06:45:00;2 285;2 972;1 110;1 862;8 858
07:00:00;2 233;2 929;1 151;1 778;8 858
07:15:00;2 096;3 092;1 323;1 769;8 858
07:30:00;2 039;3 348;1 575;1 773;8 858
07:45:00;1 976;3 493;1 688;1 805;8 858
08:00:00;1 881;3 339;1 676;1 663;8 858
08:15:00;1 882;3 323;1 656;1 667;8 858
08:30:00;1 881;3 526;1 712;1 814;8 858
08:45:00;1 861;3 619;1 725;1 894;8 858
09:00:00;1 827;3 644;1 492;2 152;8 858
09:15:00;1 845;3 787;1 422;2 365;8 858
09:30:00;1 801;3 847;1 459;2 388;8 858
09:45:00;1 800;3 651;1 443;2 208;8 858
10:00:00;1 800;3 465;1 372;2 093;8 858
10:15:00;1 807;3 226;1 287;1 939;8 858
10:30:00;1 842;3 107;1 251;1 856;8 858
10:45:00;1 854;2 921;1 222;1 699;8 858
11:00:00;1 980;2 949;1 283;1 666;8 858
11:15:00;1 978;3 120;1 352;1 768;8 858
11:30:00;2 059;3 226;1 373;1 853;8 858
11:45:00;2 053;3 322;1 384;1 938;8 858
12:00:00;2 047;3 278;1 329;1 949;8 858
12:15:00;2 048;3 097;1 309;1 788;8 858
12:30:00;1 989;2 986;1 320;1 666;8 858
12:45:00;1 902;2 948;1 299;1 649;8 858
13:00:00;1 871;3 113;1 326;1 787;8 858
13:15:00;1 862;3 421;1 324;2 097;8 858
13:30:00;1 761;3 529;1 366;2 163;8 858
13:45:00;1 880;3 562;1 377;2 185;8 858
14:00:00;2 008;3 379;1 330;2 049;8 858
14:15:00;1 872;3 052;1 320;1 732;8 858
14:30:00;1 914;3 056;1 298;1 758;8 858
14:45:00;1 902;2 899;1 202;1 697;8 858
15:00:00;1 966;2 737;1 224;1 513;8 858
15:15:00;1 974;2 466;1 201;1 265;8 858
15:30:00;2 036;2 330;1 196;1 134;8 858
15:45:00;2 014;2 233;1 199;1 034;8 858
16:00:00;2 091;2 111;1 203;908;8 858
16:15:00;2 064;2 267;1 212;1 055;8 858
16:30:00;2 036;2 242;1 139;1 103;8 858
16:45:00;2 079;2 234;1 058;1 176;8 858
17:00:00;2 016;2 782;1 011;1 771;8 858
17:15:00;1 798;3 049;1 020;2 029;8 858
17:30:00;1 752;3 000;1 023;1 977;8 858
17:45:00;1 665;3 063;972;2 091;8 858
18:00:00;1 714;3 152;864;2 288;8 858
18:15:00;1 811;2 942;747;2 195;8 858
18:30:00;2 129;3 059;630;2 429;8 858
18:45:00;2 193;3 112;573;2 539;8 858
19:00:00;2 262;3 261;546;2 715;8 858
19:15:00;2 277;3 614;521;3 093;8 858
19:30:00;2 304;4 206;553;3 653;8 858
19:45:00;2 341;4 059;599;3 460;8 858
20:00:00;2 370;4 039;791;3 248;8 858
20:15:00;2 397;4 326;834;3 492;8 858
20:30:00;2 451;4 524;669;3 855;8 858
20:45:00;2 617;4 665;556;4 109;8 858
21:00:00;2 681;4 708;516;4 192;8 858
21:15:00;2 694;4 640;566;4 074;8 858
21:30:00;2 699;4 706;647;4 059;8 858
21:45:00;2 766;4 772;608;4 164;8 858
22:00:00;2 757;4 488;551;3 937;8 858
22:15:00;2 634;4 388;551;3 837;8 858
22:30:00;2 470;4 377;633;3 744;8 858
22:45:00;2 446;4 356;680;3 676;8 858
23:00:00;2 355;4 116;542;3 574;8 858
23:15:00;2 270;3 904;441;3 463;8 858
23:30:00;1 984;3 693;451;3 242;8 858
23:45:00;1 875;3 450;463;2 987;8 858
