time_utc;be_to_nl;de_to_nl;dk_to_nl;no_to_nl;nl_to_be;nl_to_de;nl_to_dk;nl_to_no
00:00:00;4 353;1 254;1 254;343;-233;-1 056;-1 056;-114
00:15:00;4 353;1 254;1 254;343;-233;-1 056;-1 056;-114
00:30:00;4 353;1 254;1 254;343;-233;-1 056;-1 056;-114
00:45:00;4 353;1 254;1 254;343;-233;-1 056;-1 056;-114
01:00:00;4 721;1 345;1 358;18;-189;-949;-949;-915
01:15:00;4 721;1 345;1 358;18;-189;-949;-949;-915
01:30:00;4 721;1 345;1 358;18;-189;-949;-949;-915
01:45:00;4 721;1 345;1 358;18;-189;-949;-949;-915
02:00:00;5 099;1 501;1 501;803;0;-1 242;-1 242;-151
02:15:00;5 099;1 501;1 501;803;0;-1 242;-1 242;-151
02:30:00;5 099;1 501;1 501;803;0;-1 242;-1 242;-151
02:45:00;5 099;1 501;1 501;803;0;-1 242;-1 242;-151
03:00:00;4 909;1 366;1 364;115;0;-1 358;-1 358;-1 393
03:15:00;4 909;1 366;1 364;115;0;-1 358;-1 358;-1 393
03:30:00;4 909;1 366;1 364;115;0;-1 358;-1 358;-1 393
03:45:00;4 909;1 366;1 364;115;0;-1 358;-1 358;-1 393
04:00:00;3 713;990;990;251;-52;-1 159;-1 159;-1 052
04:15:00;3 713;990;990;251;-52;-1 159;-1 159;-1 052
04:30:00;3 713;990;990;251;-52;-1 159;-1 159;-1 052
04:45:00;3 713;990;990;251;-52;-1 159;-1 159;-1 052
05:00:00;2 346;2 788;1 232;314;-665;-566;-566;-426
05:15:00;2 346;2 788;1 232;314;-665;-566;-566;-426
05:30:00;2 346;2 788;1 232;314;-665;-566;-566;-426
05:45:00;2 346;2 788;1 232;314;-665;-566;-566;-426
06:00:00;1 660;2 545;788;0;-1 418;-1 387;-1 387;-589
06:15:00;1 660;2 545;788;0;-1 418;-1 387;-1 387;-589
06:30:00;1 660;2 545;788;0;-1 418;-1 387;-1 387;-589
06:45:00;1 660;2 545;788;0;-1 418;-1 387;-1 387;-589
07:00:00;1 179;1 179;1 179;211;-1 517;-2 258;-1 520;-324
07:15:00;1 179;1 179;1 179;211;-1 517;-2 258;-1 520;-324
07:30:00;1 179;1 179;1 179;211;-1 517;-2 258;-1 520;-324
07:45:00;1 179;1 179;1 179;211;-1 517;-2 258;-1 520;-324
08:00:00;404;0;0;0;-707;-2 938;-1 281;-578
08:15:00;404;0;0;0;-707;-2 938;-1 281;-578
08:30:00;404;0;0;0;-707;-2 938;-1 281;-578
08:45:00;404;0;0;0;-707;-2 938;-1 281;-578
09:00:00;521;1 226;1 559;308;-522;-691;-235;-308
09:15:00;521;1 226;1 559;308;-522;-691;-235;-308
09:30:00;521;1 226;1 559;308;-522;-691;-235;-308
09:45:00;521;1 226;1 559;308;-522;-691;-235;-308
10:00:00;0;0;0;0;-897;-822;-216;0
10:15:00;0;0;0;0;-897;-822;-216;0
10:30:00;0;0;0;0;-897;-822;-216;0
10:45:00;0;0;0;0;-897;-822;-216;0
11:00:00;0;0;0;0;-702;-2 189;-568;-148
11:15:00;0;0;0;0;-702;-2 189;-568;-148
11:30:00;0;0;0;0;-702;-2 189;-568;-148
11:45:00;0;0;0;0;-702;-2 189;-568;-148
12:00:00;0;0;0;0;-558;-3 447;-700;-943
12:15:00;0;0;0;0;-558;-3 447;-700;-943
12:30:00;0;0;0;0;-558;-3 447;-700;-943
12:45:00;0;0;0;0;-558;-3 447;-700;-943
13:00:00;0;0;0;0;-344;-2 640;-791;-805
13:15:00;0;0;0;0;-344;-2 640;-791;-805
13:30:00;0;0;0;0;-344;-2 640;-791;-805
13:45:00;0;0;0;0;-344;-2 640;-791;-805
14:00:00;0;0;28;0;-438;-4 328;-672;-1 004
14:15:00;0;0;28;0;-438;-4 328;-672;-1 004
14:30:00;0;0;28;0;-438;-4 328;-672;-1 004
14:45:00;0;0;28;0;-438;-4 328;-672;-1 004
15:00:00;0;1 060;1 562;0;-739;-838;-391;-324
15:15:00;0;1 060;1 562;0;-739;-838;-391;-324
15:30:00;0;1 060;1 562;0;-739;-838;-391;-324
15:45:00;0;1 060;1 562;0;-739;-838;-391;-324
16:00:00;118;442;1 202;0;-536;-970;-1;-55
16:15:00;118;442;1 202;0;-536;-970;-1;-55
16:30:00;118;442;1 202;0;-536;-970;-1;-55
16:45:00;118;442;1 202;0;-536;-970;-1;-55
17:00:00;1 127;790;921;291;-315;-1 820;-745;-636
17:15:00;1 127;790;921;291;-315;-1 820;-745;-636
17:30:00;1 127;790;921;291;-315;-1 820;-745;-636
17:45:00;1 127;790;921;291;-315;-1 820;-745;-636
18:00:00;1 643;2 031;2 025;500;-493;-1 968;-1 915;-758
18:15:00;1 643;2 031;2 025;500;-493;-1 968;-1 915;-758
18:30:00;1 643;2 031;2 025;500;-493;-1 968;-1 915;-758
18:45:00;1 643;2 031;2 025;500;-493;-1 968;-1 915;-758
19:00:00;26;2 251;2 164;175;-1 227;-385;-385;-407
19:15:00;26;2 251;2 164;175;-1 227;-385;-385;-407
19:30:00;26;2 251;2 164;175;-1 227;-385;-385;-407
19:45:00;26;2 251;2 164;175;-1 227;-385;-385;-407
20:00:00;1 054;2 306;2 439;0;-724;-557;-532;-634
20:15:00;1 054;2 306;2 439;0;-724;-557;-532;-634
20:30:00;1 054;2 306;2 439;0;-724;-557;-532;-634
20:45:00;1 054;2 306;2 439;0;-724;-557;-532;-634
21:00:00;2 365;2 528;2 418;152;-58;-58;-58;-105
21:15:00;2 365;2 528;2 418;152;-58;-58;-58;-105
21:30:00;2 365;2 528;2 418;152;-58;-58;-58;-105
21:45:00;2 365;2 528;2 418;152;-58;-58;-58;-105
22:00:00;2 919;1 980;148;0;0;0;0;0
22:15:00;2 919;1 980;148;0;0;0;0;0
22:30:00;2 919;1 980;148;0;0;0;0;0
22:45:00;2 919;1 980;148;0;0;0;0;0
23:00:00;3 554;3 184;1 030;314;-514;-514;-514;-514
23:15:00;3 554;3 184;1 030;314;-514;-514;-514;-514
23:30:00;3 554;3 184;1 030;314;-514;-514;-514;-514
23:45:00;3 554;3 184;1 030;314;-514;-514;-514;-514
