time_utc,day_ahead_forecast,actual
00:00:00,13234,13131
00:15:00,13082,13084
00:30:00,12919,12982
00:45:00,12799,12961
01:00:00,12740,12960
01:15:00,12673,12985
01:30:00,12533,12913
01:45:00,12471,13054
02:00:00,12485,13069
02:15:00,12527,13032
02:30:00,12533,13036
02:45:00,12540,13036
03:00:00,12622,13072
03:15:00,12655,13105
03:30:00,12583,13057
03:45:00,12672,13025
04:00:00,12755,13254
04:15:00,12951,13430
04:30:00,13251,13555
04:45:00,13494,13641
05:00:00,13971,14226
05:15:00,14423,14521
05:30:00,14953,14904
05:45:00,15665,15342
06:00:00,16442,16049
06:15:00,17110,16619
06:30:00,17450,17059
06:45:00,17882,17501
07:00:00,18312,17936
07:15:00,18630,18264
07:30:00,18817,18584
07:45:00,18949,18862
08:00:00,19087,19052
08:15:00,19066,19154
08:30:00,19139,19200
08:45:00,19277,19264
09:00:00,19218,19492
09:15:00,19100,19504
09:30:00,19018,19583
09:45:00,18933,19567
10:00:00,18913,19569
10:15:00,18850,19512
10:30:00,18809,19294
10:45:00,18803,19284
11:00:00,18833,19131
11:15:00,18885,19065
11:30:00,18865,18909
11:45:00,18838,18835
12:00:00,18814,18860
12:15:00,18836,18759
12:30:00,18721,18606
12:45:00,18596,18629
13:00:00,18531,18840
13:15:00,18492,18866
13:30:00,18466,19024
13:45:00,18531,18932
14:00:00,18339,19053
14:15:00,18399,19058
14:30:00,18238,19081
14:45:00,18305,19135
15:00:00,18546,19079
15:15:00,18806,19061
15:30:00,18978,19130
15:45:00,19228,19490
16:00:00,19275,19651
16:15:00,19266,19921
16:30:00,19367,19984
16:45:00,19405,19884
17:00:00,19195,19540
17:15:00,19050,19321
17:30:00,18898,19220
17:45:00,18956,18992
18:00:00,18780,18938
18:15:00,18758,18715
18:30:00,18628,18411
18:45:00,18312,18313
19:00:00,18086,18230
19:15:00,17796,18112
19:30:00,17592,17906
19:45:00,17328,17618
20:00:00,16988,17198
20:15:00,16688,16868
20:30:00,16499,16858
20:45:00,16190,16749
21:00:00,16051,16375
21:15:00,15814,16075
21:30:00,15529,15784
21:45:00,15181,15527
22:00:00,14873,15309
22:15:00,14591,15110
22:30:00,14430,14771
22:45:00,14232,14525
23:00:00,13865,14283
23:15:00,13723,14068
23:30:00,13512,13999
23:45:00,13344,13965
