time_utc,day_ahead_forecast,actual,installed_capacity
00:00:00,0,0,18830
00:15:00,0,0,18830
00:30:00,0,0,18830
00:45:00,0,0,18830
01:00:00,0,0,18830
01:15:00,0,0,18830
01:30:00,0,0,18830
01:45:00,0,0,18830
02:00:00,0,0,18830
02:15:00,0,0,18830
02:30:00,0,0,18830
02:45:00,0,0,18830
03:00:00,0,3,18830
03:15:00,0,3,18830
03:30:00,0,4,18830
03:45:00,0,4,18830
04:00:00,0,11,18830
04:15:00,0,16,18830
04:30:00,0,43,18830
04:45:00,0,43,18830
05:00:00,0,64,18830
05:15:00,0,60,18830
05:30:00,0,50,18830
05:45:00,0,74,18830
06:00:00,0,83,18830
06:15:00,0,88,18830
06:30:00,0,102,18830
06:45:00,0,114,18830
07:00:00,0,85,18830
07:15:00,0,99,18830
07:30:00,0,85,18830
07:45:00,0,98,18830
08:00:00,296,124,18830
08:15:00,343,123,18830
08:30:00,533,178,18830
08:45:00,702,242,18830
09:00:00,895,275,18830
09:15:00,1228,350,18830
09:30:00,1446,376,18830
09:45:00,1564,365,18830
10:00:00,1790,399,18830
10:15:00,2001,446,18830
10:30:00,2308,453,18830
10:45:00,2369,475,18830
11:00:00,2696,469,18830
11:15:00,3021,513,18830
11:30:00,3935,540,18830
11:45:00,4468,650,18830
12:00:00,4572,554,18830
12:15:00,4343,672,18830
12:30:00,4237,599,18830
12:45:00,3890,636,18830
13:00:00,3608,545,18830
13:15:00,3332,608,18830
13:30:00,3138,512,18830
13:45:00,2506,613,18830
14:00:00,2219,335,18830
14:15:00,1798,238,18830
14:30:00,1541,125,18830
14:45:00,1366,85,18830
15:00:00,1144,55,18830
15:15:00,1054,30,18830
15:30:00,988,17,18830
15:45:00,0,28,18830
16:00:00,0,38,18830
16:15:00,0,20,18830
16:30:00,0,21,18830
16:45:00,0,2,18830
17:00:00,0,20,18830
17:15:00,0,1,18830
17:30:00,0,11,18830
17:45:00,0,3,18830
18:00:00,0,9,18830
18:15:00,0,25,18830
18:30:00,0,14,18830
18:45:00,0,26,18830
19:00:00,0,9,18830
19:15:00,0,9,18830
19:30:00,0,15,18830
19:45:00,0,2,18830
20:00:00,0,7,18830
20:15:00,0,2,18830
20:30:00,0,7,18830
20:45:00,0,3,18830
21:00:00,0,0,18830
21:15:00,0,0,18830
21:30:00,0,0,18830
21:45:00,0,0,18830
22:00:00,0,0,18830
22:15:00,0,0,18830
22:30:00,0,0,18830
22:45:00,0,0,18830
23:00:00,0,0,18830
23:15:00,0,0,18830
23:30:00,0,0,18830
23:45:00,0,0,18830
