time_utc,power_net_afrr_mw,power_net_igcc_mw,power_net_mfrrda_mw,power_net_picasso_mw,power_net_total_mw
23:00:00,-181,0.0,0,-179.0,-360.0
23:01:00,-326,0.0,0,-171.6,-497.6
23:02:00,-454,0.0,0,-179.0,-633.0
23:03:00,-541,0.0,0,-179.0,-720.0
23:04:00,-586,0.0,0,-179.0,-765.0
23:05:00,-605,0.0,0,-179.0,-784.0
23:06:00,-592,0.0,0,-179.0,-771.0
23:07:00,-567,0.0,0,-179.0,-746.0
23:08:00,-527,0.0,0,-179.0,-706.0
23:09:00,-460,0.0,0,-179.0,-639.0
23:10:00,-389,0.0,0,-139.8,-528.8
23:11:00,-303,0.0,0,-75.3,-378.3
23:12:00,-235,0.0,0,-96.0,-331.0
23:13:00,-186,0.0,0,-61.2,-247.2
23:14:00,-156,0.0,0,-21.3,-177.3
23:15:00,-142,7.2,0,-235.1,-369.9
23:16:00,-85,0.1,0,-325.4,-410.3
23:17:00,-55,1.8,0,-224.1,-277.3
23:18:00,-31,7.0,0,-295.3,-319.3
23:19:00,-5,5.5,0,-418.6,-418.1
23:20:00,26,5.0,0,-382.3,-351.3
23:21:00,37,0.8,0,-429.1,-391.3
23:22:00,54,2.5,0,-355.6,-299.1
23:23:00,52,0.0,0,-353.4,-301.4
23:24:00,42,-0.4,0,-375.6,-334.0
23:25:00,26,-3.6,0,-390.5,-368.1
23:26:00,16,-1.9,0,-375.8,-361.7
23:27:00,4,0.0,0,-428.2,-424.2
23:28:00,-7,2.0,0,-413.3,-418.3
23:29:00,-8,0.0,0,-428.2,-436.2
23:30:00,-4,11.0,0,-532.6,-525.6
23:31:00,20,7.4,0,-543.7,-516.3
23:32:00,52,1.0,0,-417.9,-364.9
23:33:00,55,0.2,0,-338.5,-283.3
23:34:00,46,0.0,0,-465.0,-419.0
23:35:00,35,0.0,0,-409.1,-374.1
23:36:00,20,0.0,0,-402.0,-382.0
23:37:00,11,-1.1,0,-389.9,-380.0
23:38:00,2,-4.1,0,-369.4,-371.5
23:39:00,-11,-7.0,0,-316.1,-334.1
23:40:00,-21,-4.1,0,-296.7,-321.8
23:41:00,-55,-26.2,0,-294.9,-376.1
23:42:00,-65,-28.8,0,-188.6,-282.4
23:43:00,-91,-27.4,0,-272.0,-390.4
23:44:00,-104,-36.5,0,-193.3,-333.8
23:45:00,-110,-73.2,0,-140.4,-323.6
23:46:00,-69,0.0,0,-218.4,-287.4
23:47:00,-57,0.0,0,-269.3,-326.3
23:48:00,-35,0.0,0,-101.0,-136.0
23:49:00,-23,-31.5,0,-183.6,-238.1
23:50:00,-13,0.0,0,-175.0,-188.0
23:51:00,-4,0.0,0,-210.9,-214.9
23:52:00,0,4.7,0,-179.9,-175.2
23:53:00,0,0.0,0,-294.3,-294.3
23:54:00,0,2.1,0,-232.8,-230.7
23:55:00,0,1.8,0,-213.9,-212.1
23:56:00,5,9.5,0,-248.4,-233.9
23:57:00,46,13.4,0,-158.4,-99.0
23:58:00,69,19.0,0,-250.3,-162.3
23:59:00,89,23.8,0,-613.8,-501.0
00:00:00,111,6.4,0,-379.0,-261.6
00:01:00,102,0.0,0,-574.7,-472.7
00:02:00,153,7.7,0,-534.3,-373.6
00:03:00,184,21.6,0,-610.7,-405.1
00:04:00,220,24.9,0,-667.3,-422.4
00:05:00,258,12.6,0,-728.6,-458.0
00:06:00,293,16.3,0,-778.8,-469.5
00:07:00,306,26.7,0,-620.5,-287.8
00:08:00,276,12.7,0,-603.3,-314.6
00:09:00,254,15.8,0,-589.0,-319.2
00:10:00,231,6.5,0,-397.0,-159.5
00:11:00,179,5.5,0,-340.2,-155.7
00:12:00,144,9.3,0,-348.3,-195.0
00:13:00,116,9.2,0,-309.6,-184.4
00:14:00,91,1.5,0,-197.8,-105.3
00:15:00,65,1.3,0,-248.0,-181.7
00:16:00,54,3.2,0,-220.0,-162.8
00:17:00,45,7.4,0,-169.1,-116.7
00:18:00,32,6.0,0,-116.4,-78.4
00:19:00,69,13.9,0,-188.2,-105.3
00:20:00,74,13.7,0,-97.2,-9.5
00:21:00,57,1.0,0,-25.0,33.0
00:22:00,34,7.4,0,-122.8,-81.4
00:23:00,28,3.0,0,-154.2,-123.2
00:24:00,49,18.1,0,-204.1,-137.0
00:25:00,62,33.8,0,-296.8,-201.0
00:26:00,82,26.8,0,-219.8,-111.0
00:27:00,102,23.7,0,-276.8,-151.1
00:28:00,153,20.2,0,-274.1,-100.9
00:29:00,173,12.6,0,-155.7,29.9
00:30:00,138,15.3,0,-307.4,-154.1
00:31:00,190,7.8,0,-319.6,-121.8
00:32:00,231,3.2,0,-378.2,-144.0
00:33:00,277,2.8,0,-331.0,-51.2
00:34:00,311,2.5,0,-365.6,-52.1
00:35:00,309,7.3,0,-354.6,-38.3
