time_utc,capacity_to_nl_total,capacity_from_nl_total
00:00:00,7204,-2459
00:15:00,7204,-2459
00:30:00,7204,-2459
00:45:00,7204,-2459
01:00:00,7442,-3002
01:15:00,7442,-3002
01:30:00,7442,-3002
01:45:00,7442,-3002
02:00:00,8904,-2635
02:15:00,8904,-2635
02:30:00,8904,-2635
02:45:00,8904,-2635
03:00:00,7754,-4109
03:15:00,7754,-4109
03:30:00,7754,-4109
03:45:00,7754,-4109
04:00:00,5944,-3422
04:15:00,5944,-3422
04:30:00,5944,-3422
04:45:00,5944,-3422
05:00:00,6680,-2223
05:15:00,6680,-2223
05:30:00,6680,-2223
05:45:00,6680,-2223
06:00:00,4993,-4781
06:15:00,4993,-4781
06:30:00,4993,-4781
06:45:00,4993,-4781
07:00:00,3748,-5619
07:15:00,3748,-5619
07:30:00,3748,-5619
07:45:00,3748,-5619
08:00:00,404,-5504
08:15:00,404,-5504
08:30:00,404,-5504
08:45:00,404,-5504
09:00:00,3614,-1756
09:15:00,3614,-1756
09:30:00,3614,-1756
09:45:00,3614,-1756
10:00:00,0,-1935
10:15:00,0,-1935
10:30:00,0,-1935
10:45:00,0,-1935
11:00:00,0,-3607
11:15:00,0,-3607
11:30:00,0,-3607
11:45:00,0,-3607
12:00:00,0,-5648
12:15:00,0,-5648
12:30:00,0,-5648
12:45:00,0,-5648
13:00:00,0,-4580
13:15:00,0,-4580
13:30:00,0,-4580
13:45:00,0,-4580
14:00:00,28,-6442
14:15:00,28,-6442
14:30:00,28,-6442
14:45:00,28,-6442
15:00:00,2622,-2292
15:15:00,2622,-2292
15:30:00,2622,-2292
15:45:00,2622,-2292
16:00:00,1762,-1562
16:15:00,1762,-1562
16:30:00,1762,-1562
16:45:00,1762,-1562
17:00:00,3129,-3516
17:15:00,3129,-3516
17:30:00,3129,-3516
17:45:00,3129,-3516
18:00:00,6199,-5134
18:15:00,6199,-5134
18:30:00,6199,-5134
18:45:00,6199,-5134
19:00:00,4616,-2404
19:15:00,4616,-2404
19:30:00,4616,-2404
19:45:00,4616,-2404
20:00:00,5799,-2447
20:15:00,5799,-2447
20:30:00,5799,-2447
20:45:00,5799,-2447
21:00:00,7463,-279
21:15:00,7463,-279
21:30:00,7463,-279
21:45:00,7463,-279
22:00:00,5047,0
22:15:00,5047,0
22:30:00,5047,0
22:45:00,5047,0
23:00:00,8082,-2056
23:15:00,8082,-2056
23:30:00,8082,-2056
23:45:00,8082,-2056
