time_utc,border,da_net_nl_exports_mw,fin_net_nl_exports_mw,id_adjustment_mw,neso_buy_mw
00:00:00,GB,-521.0,-538.0,-17.0,0.0
01:00:00,GB,-567.0,-485.0,82.0,0.0
02:00:00,GB,-590.0,-548.0,42.0,0.0
03:00:00,GB,-557.0,-575.0,-18.0,0.0
04:00:00,GB,-704.0,-640.0,64.0,0.0
05:00:00,GB,-976.0,-573.0,403.0,399.0
06:00:00,GB,-1058.0,-491.0,567.0,561.0
07:00:00,GB,-1000.0,-84.0,916.0,900.0
08:00:00,GB,-788.0,-26.0,762.0,750.0
09:00:00,GB,-422.0,-67.0,355.0,350.0
10:00:00,GB,-434.0,157.0,591.0,588.0
11:00:00,GB,-566.0,-14.0,552.0,547.0
12:00:00,GB,-687.0,10.0,697.0,691.0
13:00:00,GB,-931.0,-548.0,383.0,389.0
14:00:00,GB,-938.0,-472.0,466.0,462.0
15:00:00,GB,-866.0,-859.0,7.0,10.0
16:00:00,GB,-862.0,67.0,929.0,918.0
17:00:00,GB,-846.0,212.0,1058.0,1045.0
18:00:00,GB,-117.0,-68.0,49.0,51.0
19:00:00,GB,481.0,0.0,-481.0,0.0
20:00:00,GB,-85.0,50.0,135.0,172.0
21:00:00,GB,-255.0,212.0,467.0,431.0
22:00:00,GB,-595.0,-490.0,105.0,0.0
23:00:00,GB,-388.0,-400.0,-12.0,0.0
