time_utc,da_net_nl_exports_mw,fin_net_nl_exports_mw,id_adjustment_mw
00:00:00,5398.4,5460.3,61.9
01:00:00,5346.5,5584.6,237.9
02:00:00,5136.4,5487.6,351.2
03:00:00,5096.6,5256.7,160.1
04:00:00,5287.3,5367.2,79.8
05:00:00,5075.3,5072.4,-2.9
06:00:00,3618.2,3513.2,-105.0
07:00:00,2298.3,1547.0,-751.3
08:00:00,2464.2,805.8,-1658.5
09:00:00,3301.1,1144.0,-2157.0
10:00:00,4668.2,1459.0,-3209.3
11:00:00,5432.9,2199.3,-3233.4
12:00:00,5434.2,2575.7,-2858.5
13:00:00,4489.7,1950.2,-2539.5
14:00:00,2485.7,1065.4,-1420.2
15:00:00,1189.4,1334.8,145.6
16:00:00,1022.4,1337.6,315.2
17:00:00,1652.8,2200.2,547.4
18:00:00,2908.5,2882.7,-25.8
19:00:00,3571.6,3589.7,18.1
20:00:00,4285.5,5451.0,1165.5
21:00:00,4941.3,6700.6,1759.3
22:00:00,5104.6,6040.7,936.0
23:00:00,7601.5,7913.1,311.5
