time_utc,cable,counterparty_zone,da_net_gb_exports_mw,fin_net_gb_exports_mw,id_adjustment_mw
00:00:00,BritNed,NL,521.0,538.0,17
00:00:00,IFA_EL,FR,590.0,882.0,292
00:00:00,NSL,NO_2,-175.7,-175.7,0
00:00:00,Nemo,BE,234.0,234.0,0
00:00:00,VikingLink,DK_1,430.0,439.0,9
01:00:00,BritNed,NL,567.0,485.0,-82
01:00:00,IFA_EL,FR,640.0,952.0,312
01:00:00,NSL,NO_2,-111.0,-111.0,0
01:00:00,Nemo,BE,285.0,251.0,-34
01:00:00,VikingLink,DK_1,456.0,424.0,-32
02:00:00,BritNed,NL,590.0,548.0,-42
02:00:00,IFA_EL,FR,650.0,1237.0,587
02:00:00,NSL,NO_2,0.0,0.0,0
02:00:00,Nemo,BE,86.0,137.0,51
02:00:00,VikingLink,DK_1,484.0,364.0,-120
03:00:00,BritNed,NL,557.0,575.0,18
03:00:00,IFA_EL,FR,911.0,1187.0,276
03:00:00,NSL,NO_2,0.0,0.0,0
03:00:00,Nemo,BE,92.0,119.0,27
03:00:00,VikingLink,DK_1,550.0,570.0,20
04:00:00,BritNed,NL,704.0,640.0,-64
04:00:00,IFA_EL,FR,1919.0,2094.0,175
04:00:00,NSL,NO_2,419.5,419.5,0
04:00:00,Nemo,BE,251.0,118.0,-133
04:00:00,VikingLink,DK_1,597.0,488.0,-109
05:00:00,BritNed,NL,976.0,573.0,-403
05:00:00,IFA_EL,FR,3194.0,3070.0,-124
05:00:00,NSL,NO_2,884.5,884.5,0
05:00:00,Nemo,BE,949.0,918.0,-31
05:00:00,VikingLink,DK_1,1050.0,1080.0,30
06:00:00,BritNed,NL,1058.0,491.0,-567
06:00:00,IFA_EL,FR,3527.0,2618.0,-909
06:00:00,NSL,NO_2,915.1,915.1,0
06:00:00,Nemo,BE,1012.0,261.0,-751
06:00:00,VikingLink,DK_1,1025.0,1075.0,50
07:00:00,BritNed,NL,1000.0,84.0,-916
07:00:00,IFA_EL,FR,3376.0,2101.0,-1275
07:00:00,NSL,NO_2,480.3,480.3,0
07:00:00,Nemo,BE,1012.0,163.0,-849
07:00:00,VikingLink,DK_1,1025.0,1055.0,30
08:00:00,BritNed,NL,788.0,26.0,-762
08:00:00,IFA_EL,FR,2167.0,812.0,-1355
08:00:00,NSL,NO_2,15.3,15.3,0
08:00:00,Nemo,BE,538.0,70.0,-468
08:00:00,VikingLink,DK_1,799.0,531.0,-268
09:00:00,BritNed,NL,422.0,67.0,-355
09:00:00,IFA_EL,FR,520.0,107.0,-413
09:00:00,NSL,NO_2,-117.7,-117.7,0
09:00:00,Nemo,BE,142.0,2.0,-140
09:00:00,VikingLink,DK_1,356.0,731.0,375
10:00:00,BritNed,NL,434.0,-157.0,-591
10:00:00,IFA_EL,FR,530.0,994.0,464
10:00:00,NSL,NO_2,-267.5,-267.5,0
10:00:00,Nemo,BE,279.0,-115.0,-394
10:00:00,VikingLink,DK_1,339.0,900.0,561
11:00:00,BritNed,NL,566.0,14.0,-552
11:00:00,IFA_EL,FR,891.0,394.0,-497
11:00:00,NSL,NO_2,-174.7,-174.7,0
11:00:00,Nemo,BE,309.0,223.0,-86
11:00:00,VikingLink,DK_1,447.0,1048.0,601
12:00:00,BritNed,NL,687.0,-10.0,-697
12:00:00,IFA_EL,FR,180.0,1269.0,1089
12:00:00,NSL,NO_2,0.0,0.0,0
12:00:00,Nemo,BE,507.0,-254.0,-761
12:00:00,VikingLink,DK_1,662.0,932.0,270
13:00:00,BritNed,NL,931.0,548.0,-383
13:00:00,IFA_EL,FR,-846.0,206.0,1052
13:00:00,NSL,NO_2,0.0,0.0,0
13:00:00,Nemo,BE,399.0,-352.0,-751
13:00:00,VikingLink,DK_1,965.0,1024.0,59
14:00:00,BritNed,NL,938.0,472.0,-466
14:00:00,IFA_EL,FR,-1156.0,611.0,1767
14:00:00,NSL,NO_2,0.0,0.0,0
14:00:00,Nemo,BE,330.0,-195.0,-525
14:00:00,VikingLink,DK_1,1006.0,1075.0,69
15:00:00,BritNed,NL,866.0,859.0,-7
15:00:00,IFA_EL,FR,-1627.0,-170.0,1457
15:00:00,NSL,NO_2,-465.0,-465.0,0
15:00:00,Nemo,BE,509.0,33.0,-476
15:00:00,VikingLink,DK_1,857.0,1100.0,243
16:00:00,BritNed,NL,862.0,-67.0,-929
16:00:00,IFA_EL,FR,-1136.0,-120.0,1016
16:00:00,NSL,NO_2,-930.0,-930.0,0
16:00:00,Nemo,BE,367.0,-233.0,-600
16:00:00,VikingLink,DK_1,766.0,769.0,3
17:00:00,BritNed,NL,846.0,-212.0,-1058
17:00:00,IFA_EL,FR,-467.0,0.0,467
17:00:00,NSL,NO_2,-1395.0,-1395.0,0
17:00:00,Nemo,BE,83.0,-641.0,-724
17:00:00,VikingLink,DK_1,338.0,647.0,309
18:00:00,BritNed,NL,117.0,68.0,-49
18:00:00,IFA_EL,FR,-1335.0,-608.0,727
18:00:00,NSL,NO_2,-1310.3,-1310.3,0
18:00:00,Nemo,BE,-265.0,-184.0,81
18:00:00,VikingLink,DK_1,-48.0,1100.0,1148
19:00:00,BritNed,NL,-481.0,0.0,481
19:00:00,IFA_EL,FR,-2005.0,-515.0,1490
19:00:00,NSL,NO_2,-1176.1,-1176.1,0
19:00:00,Nemo,BE,-574.0,20.0,594
19:00:00,VikingLink,DK_1,-599.0,1100.0,1699
20:00:00,BritNed,NL,85.0,-50.0,-135
20:00:00,IFA_EL,FR,-1719.0,-1479.0,240
20:00:00,NSL,NO_2,-730.3,-730.3,0
20:00:00,Nemo,BE,-407.0,-306.0,101
20:00:00,VikingLink,DK_1,-4.0,-76.0,-72
21:00:00,BritNed,NL,255.0,-212.0,-467
21:00:00,IFA_EL,FR,-704.0,-666.0,38
21:00:00,NSL,NO_2,-265.3,-265.3,0
21:00:00,Nemo,BE,-115.0,-545.0,-430
21:00:00,VikingLink,DK_1,322.0,-336.0,-658
22:00:00,BritNed,NL,595.0,490.0,-105
22:00:00,IFA_EL,FR,467.0,530.0,63
22:00:00,NSL,NO_2,0.0,0.0,0
22:00:00,Nemo,BE,140.0,-52.0,-192
