time_utc,wind_da_mw,wind_actual_total_mw,wind_actual_onshore_mw,wind_actual_offshore_mw,wind_capacity_mw
00:00:00,3751,4321,1886,2435,8858
00:15:00,3678,4278,1757,2521,8858
00:30:00,3642,4114,1688,2426,8858
00:45:00,3558,3957,1639,2318,8858
01:00:00,3540,3863,1629,2234,8858
01:15:00,3409,3949,1695,2254,8858
01:30:00,3370,4024,1744,2280,8858
01:45:00,3307,4241,2075,2166,8858
02:00:00,3299,3883,1811,2072,8858
02:15:00,3311,3540,1376,2164,8858
02:30:00,3329,3639,1314,2325,8858
02:45:00,3348,3771,1354,2417,8858
03:00:00,3332,3794,1238,2556,8858
03:15:00,3393,3844,1234,2610,8858
03:30:00,3350,3460,1280,2180,8858
03:45:00,3194,3049,1301,1748,8858
04:00:00,3126,3115,1400,1715,8858
04:15:00,2990,3121,1396,1725,8858
04:30:00,2799,3220,1373,1847,8858
04:45:00,2658,3309,1411,1898,8858
05:00:00,2541,3511,1583,1928,8858
05:15:00,2500,3213,1457,1756,8858
05:30:00,2539,3331,1510,1821,8858
05:45:00,2531,3398,1406,1992,8858
06:00:00,2466,3103,1334,1769,8858
06:15:00,2460,3008,1146,1862,8858
06:30:00,2325,3061,1121,1940,8858
06:45:00,2285,2972,1110,1862,8858
07:00:00,2233,2929,1151,1778,8858
07:15:00,2096,3092,1323,1769,8858
07:30:00,2039,3348,1575,1773,8858
07:45:00,1976,3493,1688,1805,8858
08:00:00,1881,3339,1676,1663,8858
08:15:00,1882,3323,1656,1667,8858
08:30:00,1881,3526,1712,1814,8858
08:45:00,1861,3619,1725,1894,8858
09:00:00,1827,3644,1492,2152,8858
09:15:00,1845,3787,1422,2365,8858
09:30:00,1801,3847,1459,2388,8858
09:45:00,1800,3651,1443,2208,8858
10:00:00,1800,3465,1372,2093,8858
10:15:00,1807,3226,1287,1939,8858
10:30:00,1842,3107,1251,1856,8858
10:45:00,1854,2921,1222,1699,8858
11:00:00,1980,2949,1283,1666,8858
11:15:00,1978,3120,1352,1768,8858
11:30:00,2059,3226,1373,1853,8858
11:45:00,2053,3322,1384,1938,8858
12:00:00,2047,3278,1329,1949,8858
12:15:00,2048,3097,1309,1788,8858
12:30:00,1989,2986,1320,1666,8858
12:45:00,1902,2948,1299,1649,8858
13:00:00,1871,3113,1326,1787,8858
13:15:00,1862,3421,1324,2097,8858
13:30:00,1761,3529,1366,2163,8858
13:45:00,1880,3562,1377,2185,8858
14:00:00,2008,3379,1330,2049,8858
14:15:00,1872,3052,1320,1732,8858
14:30:00,1914,3056,1298,1758,8858
14:45:00,1902,2899,1202,1697,8858
15:00:00,1966,2737,1224,1513,8858
15:15:00,1974,2466,1201,1265,8858
15:30:00,2036,2330,1196,1134,8858
15:45:00,2014,2233,1199,1034,8858
16:00:00,2091,2111,1203,908,8858
16:15:00,2064,2267,1212,1055,8858
16:30:00,2036,2242,1139,1103,8858
16:45:00,2079,2234,1058,1176,8858
17:00:00,2016,2782,1011,1771,8858
17:15:00,1798,3049,1020,2029,8858
17:30:00,1752,3000,1023,1977,8858
17:45:00,1665,3063,972,2091,8858
18:00:00,1714,3152,864,2288,8858
18:15:00,1811,2942,747,2195,8858
18:30:00,2129,3059,630,2429,8858
18:45:00,2193,3112,573,2539,8858
19:00:00,2262,3261,546,2715,8858
19:15:00,2277,3614,521,3093,8858
19:30:00,2304,4206,553,3653,8858
19:45:00,2341,4059,599,3460,8858
20:00:00,2370,4039,791,3248,8858
20:15:00,2397,4326,834,3492,8858
20:30:00,2451,4524,669,3855,8858
20:45:00,2617,4665,556,4109,8858
21:00:00,2681,4708,516,4192,8858
21:15:00,2694,4640,566,4074,8858
21:30:00,2699,4706,647,4059,8858
21:45:00,2766,4772,608,4164,8858
22:00:00,2757,4488,551,3937,8858
22:15:00,2634,4388,551,3837,8858
22:30:00,2470,4377,633,3744,8858
22:45:00,2446,4356,680,3676,8858
23:00:00,2355,4116,542,3574,8858
23:15:00,2270,3904,441,3463,8858
23:30:00,1984,3693,451,3242,8858
23:45:00,1875,3450,463,2987,8858
